"c" "over_count" "over_ratio" "nweeks_reporting"
"187" "89fda0284e008d2e0c980fb13f96114d" "1" "0.00373134328358209" "268"
"188" "89fda0284e008d2e0c980fb13f95a0fb" "10" "0.0465116279069767" "215"
"189" "89fda0284e008d2e0c980fb13f9a9d0f" "0" "0" "111"
"190" "89fda0284e008d2e0c980fb13f98abea" "47" "0.0447193149381541" "1051"
"191" "89fda0284e008d2e0c980fb13f98a6d5" "22" "0.025028441410694" "879"
"192" "89fda0284e008d2e0c980fb13f96a8a3" "0" "0" "376"
"193" "89fda0284e008d2e0c980fb13f990df9" "0" "0" "60"
"194" "fcd13ae716841026ee760704bb0d7ba4" "6" "0.0363636363636364" "165"
"195" "89fda0284e008d2e0c980fb13f993d70" "0" "0" "60"
"196" "89fda0284e008d2e0c980fb13f96cf64" "0" "0" "112"
"197" "89fda0284e008d2e0c980fb13f9849f8" "8" "0.0357142857142857" "224"
"198" "89fda0284e008d2e0c980fb13f96bd60" "0" "0" "56"
"199" "89fda0284e008d2e0c980fb13f9ab153" "10" "0.217391304347826" "46"
"200" "89fda0284e008d2e0c980fb13f955cb1" "5" "0.018796992481203" "266"
"201" "89fda0284e008d2e0c980fb13f950883" "4" "0.0176991150442478" "226"
"202" "89fda0284e008d2e0c980fb13f9ae796" "28" "0.0419790104947526" "667"
"203" "89fda0284e008d2e0c980fb13f9b3322" "71" "0.183462532299742" "387"
"204" "89fda0284e008d2e0c980fb13f997d88" "25" "0.0585480093676815" "427"
"205" "89fda0284e008d2e0c980fb13f94e6b6" "5" "0.012987012987013" "385"
"206" "89fda0284e008d2e0c980fb13f9a4d8a" "60" "0.0715990453460621" "838"
"207" "70c6ba6f55ed21716fe725c2146982df" "29" "0.0845481049562682" "343"
"208" "89fda0284e008d2e0c980fb13f9a0d1f" "0" "0" "169"
"209" "89fda0284e008d2e0c980fb13f97cb4f" "2" "0.00904977375565611" "221"
"210" "89fda0284e008d2e0c980fb13f96a690" "0" "0" "112"
"211" "70c6ba6f55ed21716fe725c214691571" "6" "0.0204081632653061" "294"
"212" "89fda0284e008d2e0c980fb13f96fddb" "1" "0.00440528634361234" "227"
"213" "fb6e0b19cbe3ef683a10c4c47669d46d" "5" "0.0909090909090909" "55"
"214" "70c6ba6f55ed21716fe725c2146972eb" "11" "0.0376712328767123" "292"
"215" "89fda0284e008d2e0c980fb13f9b1ab6" "8" "0.0197044334975369" "406"
"216" "89fda0284e008d2e0c980fb13f9b05d4" "22" "0.192982456140351" "114"
"217" "89fda0284e008d2e0c980fb13f95cb81" "11" "0.092436974789916" "119"
"218" "89fda0284e008d2e0c980fb13f9a2e6b" "30" "0.065359477124183" "459"
