"months" "chw" "score" "rank" "week_mean" "week_sd"
"721" 6 "89fda0284e008d2e0c980fb13f9b1273" 89.2925508691391 10 44.5507946782671 29.4365433709051
"722" 6 "89fda0284e008d2e0c980fb13f996b98" 84.5583345855694 11 44.5507946782671 29.4365433709051
"723" 6 "89fda0284e008d2e0c980fb13f98b956" 84.1917222447915 12 44.5507946782671 29.4365433709051
"724" 6 "89fda0284e008d2e0c980fb13f9628e2" 83.8349707995375 13 44.5507946782671 29.4365433709051
"725" 6 "89fda0284e008d2e0c980fb13f992875" 80.1121665040121 14 44.5507946782671 29.4365433709051
"726" 6 "89fda0284e008d2e0c980fb13f96372c" 78.4463398940784 15 44.5507946782671 29.4365433709051
"727" 6 "89fda0284e008d2e0c980fb13f980116" 77.3482696693102 16 44.5507946782671 29.4365433709051
"728" 6 "89fda0284e008d2e0c980fb13f96554b" 77.3159332619327 17 44.5507946782671 29.4365433709051
"729" 6 "89fda0284e008d2e0c980fb13f99d8c6" 76.0241854416576 18 44.5507946782671 29.4365433709051
"730" 6 "89fda0284e008d2e0c980fb13f94e6b6" 73.7753125216823 19 44.5507946782671 29.4365433709051
"731" 6 "89fda0284e008d2e0c980fb13f970c18" 72.6072986617566 20 44.5507946782671 29.4365433709051
"732" 6 "89fda0284e008d2e0c980fb13f992e2c" 70.6638793087034 21 44.5507946782671 29.4365433709051
"733" 6 "89fda0284e008d2e0c980fb13f9597bc" 70.44614883003 22 44.5507946782671 29.4365433709051
"734" 6 "89fda0284e008d2e0c980fb13f9aee39" 70.4224112989635 23 44.5507946782671 29.4365433709051
"735" 6 "89fda0284e008d2e0c980fb13f978216" 69.9911975515292 24 44.5507946782671 29.4365433709051
"736" 6 "89fda0284e008d2e0c980fb13f99a86d" 68.5518423008274 25 44.5507946782671 29.4365433709051
"737" 6 "89fda0284e008d2e0c980fb13f9a51a9" 68.054238243628 26 44.5507946782671 29.4365433709051
"738" 6 "89fda0284e008d2e0c980fb13f99f90d" 66.9121268110219 27 44.5507946782671 29.4365433709051
"739" 6 "89fda0284e008d2e0c980fb13f9a7b0c" 65.5329108763752 28 44.5507946782671 29.4365433709051
"740" 6 "89fda0284e008d2e0c980fb13f966efc" 64.1244089030947 29 44.5507946782671 29.4365433709051
"741" 6 "89fda0284e008d2e0c980fb13f98abea" 63.561427408344 30 44.5507946782671 29.4365433709051
"742" 6 "70c6ba6f55ed21716fe725c21469ace7" 62.7948579493809 31 44.5507946782671 29.4365433709051
"743" 6 "89fda0284e008d2e0c980fb13f958239" 61.3008252203339 32 44.5507946782671 29.4365433709051
"744" 6 "89fda0284e008d2e0c980fb13f9978cb" 59.5132159715798 33 44.5507946782671 29.4365433709051
"745" 6 "89fda0284e008d2e0c980fb13f94f406" 58.1220477889557 34 44.5507946782671 29.4365433709051
"746" 6 "89fda0284e008d2e0c980fb13f994cf8" 57.508080004635 35 44.5507946782671 29.4365433709051
"747" 6 "89fda0284e008d2e0c980fb13f968eb0" 57.4589267291676 36 44.5507946782671 29.4365433709051
"748" 6 "89fda0284e008d2e0c980fb13f9b1c77" 57.1758976482259 37 44.5507946782671 29.4365433709051
"749" 6 "89fda0284e008d2e0c980fb13f9a5551" 56.4318444912846 38 44.5507946782671 29.4365433709051
"750" 6 "89fda0284e008d2e0c980fb13f95623e" 56.3270418333842 39 44.5507946782671 29.4365433709051
"751" 6 "89fda0284e008d2e0c980fb13f958016" 54.258716713245 40 44.5507946782671 29.4365433709051
"752" 6 "89fda0284e008d2e0c980fb13f94e5b7" 53.663646334298 41 44.5507946782671 29.4365433709051
"753" 6 "89fda0284e008d2e0c980fb13f98ed57" 51.7765972303978 42 44.5507946782671 29.4365433709051
"754" 6 "fb6e0b19cbe3ef683a10c4c47669d46d" 51.3369470912753 43 44.5507946782671 29.4365433709051
"755" 6 "89fda0284e008d2e0c980fb13f999899" 50.664039182374 44 44.5507946782671 29.4365433709051
"756" 6 "fcd13ae716841026ee760704bb0d99ee" 50.6184236652599 45 44.5507946782671 29.4365433709051
"757" 6 "70c6ba6f55ed21716fe725c21469a1e0" 49.8501396496187 46 44.5507946782671 29.4365433709051
"758" 6 "89fda0284e008d2e0c980fb13f97eeaa" 49.4767644296195 47 44.5507946782671 29.4365433709051
"759" 6 "89fda0284e008d2e0c980fb13f9a94f7" 48.6858252036334 48 44.5507946782671 29.4365433709051
"760" 6 "89fda0284e008d2e0c980fb13f995be3" 48.2947377563637 49 44.5507946782671 29.4365433709051
"761" 6 "89fda0284e008d2e0c980fb13f95477d" 48.0872472380449 50 44.5507946782671 29.4365433709051
"762" 6 "89fda0284e008d2e0c980fb13f98736b" 47.7496868835805 51 44.5507946782671 29.4365433709051
"763" 6 "89fda0284e008d2e0c980fb13f9a6d98" 47.6931885088855 52 44.5507946782671 29.4365433709051
"764" 6 "89fda0284e008d2e0c980fb13f97cef7" 47.256673487391 53 44.5507946782671 29.4365433709051
"765" 6 "89fda0284e008d2e0c980fb13f9ad888" 45.0553602162545 54 44.5507946782671 29.4365433709051
"766" 6 "89fda0284e008d2e0c980fb13f998a68" 44.981919291127 55 44.5507946782671 29.4365433709051
"767" 6 "89fda0284e008d2e0c980fb13f96807a" 44.9478483299896 56 44.5507946782671 29.4365433709051
"768" 6 "70c6ba6f55ed21716fe725c21469fe3b" 44.1342108169809 57 44.5507946782671 29.4365433709051
"769" 6 "89fda0284e008d2e0c980fb13f9a88cd" 43.9854807416233 58 44.5507946782671 29.4365433709051
"770" 6 "89fda0284e008d2e0c980fb13f95f7a6" 43.6110600646735 59 44.5507946782671 29.4365433709051
"771" 6 "89fda0284e008d2e0c980fb13f979609" 43.5119916747229 60 44.5507946782671 29.4365433709051
"772" 6 "89fda0284e008d2e0c980fb13f9992a6" 40.8575998113963 61 44.5507946782671 29.4365433709051
