                                 chw                            question       score            x2
184 89fda0284e008d2e0c980fb13f96ef9f form.bp2.not_yet_maternal_emergency  0.24524917   0.076203700
34  89fda0284e008d2e0c980fb13f9b19cd form.bp2.not_yet_maternal_emergency  0.21848591   0.061760450
131 89fda0284e008d2e0c980fb13f97cb4f form.bp2.not_yet_maternal_emergency  0.21848591   0.061760450
152 89fda0284e008d2e0c980fb13f950883 form.bp2.not_yet_maternal_emergency  0.21848591   0.061760450
158 fb6e0b19cbe3ef683a10c4c47669d0ce form.bp2.not_yet_maternal_emergency  0.21848591   0.061760450
175 89fda0284e008d2e0c980fb13f955cb1 form.bp2.not_yet_maternal_emergency  0.21848591   0.061760450
186 89fda0284e008d2e0c980fb13f976515 form.bp2.not_yet_maternal_emergency  0.21848591   0.061760450
210 89fda0284e008d2e0c980fb13f96e561 form.bp2.not_yet_maternal_emergency  0.21848591   0.061760450
218 89fda0284e008d2e0c980fb13f967b9f form.bp2.not_yet_maternal_emergency  0.21848591   0.061760450
110 89fda0284e008d2e0c980fb13f95a0fb form.bp2.not_yet_maternal_emergency  0.19055319   0.048044400
180 89fda0284e008d2e0c980fb13f990df9 form.bp2.not_yet_maternal_emergency  0.19055319   0.048044400
195 89fda0284e008d2e0c980fb13f95ad0e form.bp2.not_yet_maternal_emergency  0.19055319   0.048044400
219 89fda0284e008d2e0c980fb13f9a1c42 form.bp2.not_yet_maternal_emergency  0.19055319   0.048044400
227 89fda0284e008d2e0c980fb13f9b05d4 form.bp2.not_yet_maternal_emergency  0.19055319   0.048044400
25  89fda0284e008d2e0c980fb13f9ab9a8 form.bp2.not_yet_maternal_emergency  0.18754275   0.046652710
226 89fda0284e008d2e0c980fb13f98230b form.bp2.not_yet_maternal_emergency  0.16319590   0.036043950
134 89fda0284e008d2e0c980fb13f95623e form.bp2.not_yet_maternal_emergency  0.15793461   0.033906600
213 fcd13ae716841026ee760704bb0d92e5 form.bp2.not_yet_maternal_emergency  0.13640057   0.025757870
220 89fda0284e008d2e0c980fb13f98fd43 form.bp2.not_yet_maternal_emergency  0.13640057   0.025757870
225 89fda0284e008d2e0c980fb13f96fddb form.bp2.not_yet_maternal_emergency  0.13640057   0.025757870
7   89fda0284e008d2e0c980fb13f99fba3 form.bp2.not_yet_maternal_emergency  0.13493077   0.025237620
113 89fda0284e008d2e0c980fb13f9ac931 form.bp2.not_yet_maternal_emergency  0.13493077   0.025237620
86  89fda0284e008d2e0c980fb13f999c89 form.bp2.not_yet_maternal_emergency  0.13245283   0.024371150
155 89fda0284e008d2e0c980fb13f99886e form.bp2.not_yet_maternal_emergency  0.13245283   0.024371150
36  89fda0284e008d2e0c980fb13f96a690 form.bp2.not_yet_maternal_emergency  0.11014630   0.017184930
61  89fda0284e008d2e0c980fb13f9ab153 form.bp2.not_yet_maternal_emergency  0.11014630   0.017184930
205 89fda0284e008d2e0c980fb13f9a0d1f form.bp2.not_yet_maternal_emergency  0.11014630   0.017184930
214 89fda0284e008d2e0c980fb13f958a63 form.bp2.not_yet_maternal_emergency  0.11014630   0.017184930
216 89fda0284e008d2e0c980fb13f96cf64 form.bp2.not_yet_maternal_emergency  0.11014630   0.017184930
217 89fda0284e008d2e0c980fb13f9ad383 form.bp2.not_yet_maternal_emergency  0.11014630   0.017184930
224 89fda0284e008d2e0c980fb13f97710a form.bp2.not_yet_maternal_emergency  0.11014630   0.017184930
228 89fda0284e008d2e0c980fb13f9a06a3 form.bp2.not_yet_maternal_emergency  0.11014630   0.017184930
107 89fda0284e008d2e0c980fb13f97bafa form.bp2.not_yet_maternal_emergency  0.10076807   0.014503330
191 89fda0284e008d2e0c980fb13f9a9d0f form.bp2.not_yet_maternal_emergency  0.08439415   0.010323900
215 fb6e0b19cbe3ef683a10c4c47669d46d form.bp2.not_yet_maternal_emergency  0.08439415   0.010323900
222 89fda0284e008d2e0c980fb13f97540b form.bp2.not_yet_maternal_emergency  0.08439415   0.010323900
231 89fda0284e008d2e0c980fb13f993d70 form.bp2.not_yet_maternal_emergency  0.08439415   0.010323900
96  89fda0284e008d2e0c980fb13f9a5551 form.bp2.not_yet_maternal_emergency  0.06523129   0.006277180
60  89fda0284e008d2e0c980fb13f9a6042 form.bp2.not_yet_maternal_emergency  0.06181600   0.005654992
221 89fda0284e008d2e0c980fb13f96b252 form.bp2.not_yet_maternal_emergency  0.05904999   0.005173557
75  89fda0284e008d2e0c980fb13f94e5b7 form.bp2.not_yet_maternal_emergency  0.04592744   0.003168497
229 89fda0284e008d2e0c980fb13f9a052b form.bp2.not_yet_maternal_emergency  0.03351100   0.001706981
230 89fda0284e008d2e0c980fb13f96bd60 form.bp2.not_yet_maternal_emergency  0.03351100   0.001706981
